geneID	geneSymb	ORF	SGD_id
gene1485	MTC2	YKL098W	S000001581
gene1486	VPS1	YKR001C	S000001709
gene1488	PAP1	YKR002W	S000001710
gene1489	OSH6	YKR003W	S000001711
gene149	URB2	YJR041C	S000003802
gene1492	YTA12	YMR089C	S000004695
gene1493	NPL6	YMR091C	S000004697
gene1494	SGF73	YGL066W	S000003034
gene1495	ALG2	YGL065C	S000003033
gene1496	GYP6	YJL044C	S000003580
gene1497	MHP1	YJL042W	S000003578
gene1498	RCN1	YKL159C	S000001642
gene1499	CIC1	YHR052W	S000001094
gene15	KAP104	YBR017C	S000000221
gene150	UIP4	YPL186C	S000006107
gene1500	ELF1	YKL160W	S000001643
gene1502	RKR1	YMR247C	S000004861
gene1503	SRC1	YML034W	S000004497
gene1504	AMD1	YML035C	S000004498
gene1505	PFA5	YDR459C	S000002867
gene1506	CGI121	YML036W	S000004500
gene1507	YJL218W	NA	NA
gene151	TPN1	YGL186C	S000003154
gene1510	MRPL28	YDR462W	S000002870
gene1511	PHO81	YGR233C	S000003465
gene1513	GAA1	YLR088W	S000004078
gene1514	CSF1	YLR087C	S000004077
gene1515	BAG7	YOR134W	S000005660
gene1516	IES1	YFL013C	S000001881
gene1517	YKT6	YKL196C	S000001679
gene1518	VTS1	YOR359W	S000005886
gene1519	PDE2	YOR360C	S000005887
gene1520	GCV3	YAL044C	S000000042
gene1521	YAL044W-A	YAL044W-A	S000007586
gene1522	SNC2	YOR327C	S000005854
gene1523	MYO2	YOR326W	S000005853
gene1525	YLR031W	NA	NA
gene1527	SOG2	YOR353C	S000005880
gene1528	YHM2	YMR241W	S000004854
gene153	MRN1	YPL184C	S000006105
gene1532	BIO3	YNR058W	S000005341
gene1533	DUS1	YML080W	S000004545
gene1534	VPS70	YJR126C	S000003887
gene1535	CPR3	YML078W	S000004543
gene1536	ENT3	YJR125C	S000003886
gene1539	YMR315W	NA	NA
gene1541	KXD1	YGL079W	S000003047
gene1542	APL5	YPL195W	S000006116
gene1543	DDC1	YPL194W	S000006115
gene1544	FMP37	NA	NA
gene1545	RSA1	YPL193W	S000006114
gene1547	JIP4	YDR475C	S000002883
gene1549	YMR090W	NA	NA
gene155	SLC1	YDL052C	S000002210
gene1551	RPL36A	YMR194W	S000004807
gene1552	MRPL24	YMR193W	S000004806
gene1553	GYP5	YPL249C	S000006170
gene1554	SPG5	YMR191W	S000004803
gene1555	GAL4	YPL248C	S000006169
gene1556	RDH54	YBR073W	S000000277
gene1557	DSS4	YPR017C	S000006221
gene1558	LCB1	YMR296C	S000004911
gene1559	AIM18	YHR198C	S000001241
gene156	DCP1	YOL149W	S000005509
gene1560	YAH1	YPL252C	S000006173
gene1562	HFI1	YPL254W	S000006175
gene1565	ROT1	YMR200W	S000004813
gene1566	VPS27	YNR006W	S000005289
gene1569	TEF1	YPR080W	S000006284
gene157	RGA1	YOR127W	S000005653
gene1570	GCV2	YMR189W	S000004801
gene1571	YPL247C	NA	NA
gene1573	SGS1	YMR190C	S000004802
gene1574	DSS1	YMR287C	S000004900
gene1577	YEN1	YER041W	S000000843
gene1578	PCK1	YKR097W	S000001805
gene1580	PFS2	YNL317W	S000005261
gene1581	PFK27	YOL136C	S000005496
gene1582	NPC2	YDL046W	S000002204
gene1588	HSP42	YDR171W	S000002578
gene1589	CWC27	YPL064C	S000005985
gene159	CFD1	YIL003W	S000001265
gene1590	RPN12	YFR052W	S000001948
gene1591	GPI18	YBR004C	S000000208
gene1595	YPL066W	YPL066W	S000005987
gene1596	GAS3	YMR215W	S000004828
gene1597	YPL107W	NA	NA
gene1598	NPL4	YBR170C	S000000374
gene1599	SSE1	YPL106C	S000006027
gene1600	SKY1	YMR216C	S000004829
gene161	YEA4	YEL004W	S000000730
gene1616	JLP1	YLL057C	S000003980
gene1619	STB4	YMR019W	S000004621
gene162	YMR010W	YMR010W	S000004612
gene163	YEL007W	YEL007W	S000000733
gene1637	DOG1	YHR044C	S000001086
gene1638	ROX1	YPR065W	S000006269
gene1639	YPL199C	NA	NA
gene164	YAP5	YIR018W	S000001457
gene1641	YPL225W	NA	NA
gene1642	YMR178W	NA	NA
gene1643	MMT2	YPL224C	S000006145
gene1644	ECM5	YMR176W	S000004788
gene1645	HSF1	YGL073W	S000003041
gene1646	YPL191C	NA	NA
gene1647	SCY1	YGL083W	S000003051
gene1648	ARG81	YML099C	S000004565
gene1649	DBP3	YGL078C	S000003046
gene165	PET127	YOR017W	S000005543
gene1650	OXR1	YPL196W	S000006117
gene1651	YLR126C	NA	NA
gene1652	URE2	YNL229C	S000005173
gene1654	IES2	YNL215W	S000005159
gene1655	NIT1	YIL164C	S000001426
gene1657	YET3	YDL072C	S000002230
gene1658	SEC8	YPR055W	S000006259
gene1659	YDR061W	NA	NA
gene166	ATG2	YNL242W	S000005186
gene1660	MMS4	YBR098W	S000000302
gene1661	FES1	YBR101C	S000000305
gene1662	TFB4	YPR056W	S000006260
gene1666	FRE2	YKL220C	S000001703
gene1667	AGP2	YBR132C	S000000336
gene1668	DNF3	YMR162C	S000004772
gene167	SPS4	YOR313C	S000005840
gene1671	SCW11	YGL028C	S000002996
gene1673	DUR3	YHL016C	S000001008
gene1674	SWF1	YDR126W	S000002533
gene1675	DNF1	YER166W	S000000968
gene1676	UBC13	YDR092W	S000002499
gene1677	GRX3	YDR098C	S000002505
gene1678	RAD24	YER173W	S000000975
gene1679	RPH1	YER169W	S000000971
gene168	MET32	YDR253C	S000002661
gene1682	CHS3	YBR023C	S000000227
gene1683	MON2	YNL297C	S000005241
gene1684	PUS4	YNL292W	S000005236
gene1685	MID1	YNL291C	S000005235
gene1686	RFC3	YNL290W	S000005234
gene1687	POA1	YBR022W	S000000226
gene1688	YPK3	YBR028C	S000000232
gene1689	OLE1	YGL055W	S000003023
gene1690	RIM21	YNL294C	S000005238
gene1695	GPR1	YDL035C	S000002193
gene1696	CCT7	YJL111W	S000003647
gene1697	MDV1	YJL112W	S000003648
gene1698	SPC34	YKR037C	S000001745
gene1699	SMC1	YFL008W	S000001886
gene170	EGD1	YPL037C	S000005958
gene1702	KAE1	YKR038C	S000001746
gene1703	RPL24B	YGR148C	S000003380
gene1706	KGD1	YIL125W	S000001387
gene1707	TRM1	YDR120C	S000002527
gene1710	PCL1	YNL289W	S000005233
gene1712	MSH6	YDR097C	S000002504
gene1714	CHD1	YER164W	S000000966
gene1715	RLI1	YDR091C	S000002498
gene1716	PAB1	YER165W	S000000967
gene1718	NYV1	YLR093C	S000004083
gene1719	DPB4	YDR121W	S000002528
gene1724	BMH1	YER177W	S000000979
gene1725	ARX1	YDR101C	S000002508
gene1726	MAK32	YCR019W	S000000612
gene1729	YMR221C	YMR221C	S000004834
gene173	SCJ1	YMR214W	S000004827
gene1731	FBP26	YJL155C	S000003691
gene1732	ADK2	YER170W	S000000972
gene1734	CDC42	YLR229C	S000004219
gene1735	TCP1	YDR212W	S000002620
gene1736	UPC2	YDR213W	S000002621
gene1738	RVS167	YDR388W	S000002796
gene174	DML1	YMR211W	S000004824
gene1740	SAC7	YDR389W	S000002797
gene1741	UBA2	YDR390C	S000002798
gene1742	IDH2	YOR136W	S000005662
gene1743	ADE8	YDR408C	S000002816
gene1744	PUP1	YOR157C	S000005683
gene1745	ISM1	YPL040C	S000005961
gene1746	TRS120	YDR407C	S000002815
gene1747	EFT1	YOR133W	S000005659
gene1748	PKC1	YBL105C	S000000201
gene1749	RPB2	YOR151C	S000005677
gene1750	MRP20	YDR405W	S000002813
gene1752	PUT4	YOR348C	S000005875
gene1753	ESC2	YDR363W	S000002771
gene1754	KRE2	YDR483W	S000002891
gene1757	CCC2	YDR270W	S000002678
gene1758	MUS81	YDR386W	S000002794
gene1759	PNS1	YOR161C	S000005687
gene1760	MTR10	YOR160W	S000005686
gene1761	PET123	YOR158W	S000005684
gene1762	KAR2	YJL034W	S000003571
gene1763	BUD7	YOR299W	S000005825
gene1764	TAF9	YMR236W	S000004849
gene1765	ISU1	YPL135W	S000006056
gene1766	MED6	YHR058C	S000001100
gene1767	FYV4	YHR059W	S000001101
gene1768	HNT2	YDR305C	S000002713
gene1769	MCM3	YEL032W	S000000758
gene177	TMA16	YOR252W	S000005778
gene1770	ERV1	YGR029W	S000003261
gene1772	UBA3	YPR066W	S000006270
gene1773	RAD52	YML032C	S000004494
gene1774	NDC1	YML031W	S000004493
gene1775	NHX1	YDR456W	S000002864
gene1778	SHP1	YBL058W	S000000154
gene1779	MET6	YER091C	S000000893
gene178	CAF20	YOR276W	S000005802
gene1780	GOS1	YHL031C	S000001023
gene1782	POL3	YDL102W	S000002260
